metric,metric_label,n_chunks,mean_ht_score,mean_mt_score,sd_ht_score,sd_mt_score,mean_preference_delta,median_preference_delta,ci95_preference_delta
litransproqa,LitTransProQA,386,0.9195546664917689,0.9955532235849675,0.16192981172059007,0.04115629258673239,-0.07599855709319868,0.0,0.01666954980248576
metricx-qe,MetricX-QE,385,8.6565661808113,8.347420908568742,1.853589353411658,1.7881114999036658,-0.30914527224255844,-0.20945262908935547,0.12767140685560677
paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),377,0.7217059978222167,0.7600546198291032,0.05921942036383234,0.0578774838813639,-0.0383486220068865,-0.03237272727272733,0.003919405878944114
paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),385,5.670697599552432,5.184330519315776,1.4984791691104535,1.5214839373650442,-0.4863670802366563,-0.4642779032389326,0.10310953681666286
