pkl,book_slug,source_lang,metric,metric_label,n_chunks,mean_ht_score,mean_mt_score,sd_ht_score,sd_mt_score,mean_preference_delta,median_preference_delta
needle_s_eye_pl_en,needle_s_eye,pl,metricx-qe,MetricX-QE,24,10.496987144152323,10.350522438685099,1.9771274737720173,1.4835813315648771,-0.14646470546722412,-0.08121776580810547
needle_s_eye_pl_en,needle_s_eye,pl,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),22,0.6976800993514062,0.7140906551213937,0.05358094345267207,0.056351345116716016,-0.016410555769987588,-0.018309999999999993
needle_s_eye_pl_en,needle_s_eye,pl,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),24,7.123330763819928,7.148940124049393,2.101674428220591,2.0706346191072105,0.025609360229464178,0.0567171573638916
sisters_in_yellow_ja_en,sisters_in_yellow,ja,litransproqa,LitTransProQA,26,0.9350778967867576,0.9933057448880234,0.128482593128263,0.030489345068332,-0.058227848101265835,0.0
sisters_in_yellow_ja_en,sisters_in_yellow,ja,metricx-qe,MetricX-QE,26,9.108513832092285,8.390235350682186,1.79762701043308,1.6232141953201424,-0.7182784814100999,-0.7004313468933105
sisters_in_yellow_ja_en,sisters_in_yellow,ja,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),26,0.7344866958819101,0.7833542653786962,0.02874550580197103,0.021580914130155622,-0.04886756949678625,-0.05012705882352941
sisters_in_yellow_ja_en,sisters_in_yellow,ja,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),26,4.99046499593815,4.21822949971511,0.8698936332455304,0.7066536139746402,-0.7722354962230399,-0.6006600175585068
symphony_of_monsters_fr_en,symphony_of_monsters,fr,litransproqa,LitTransProQA,26,0.9157497565725414,0.9992210321324245,0.1634579980490407,0.003971972357229064,-0.08347127555988318,0.0
symphony_of_monsters_fr_en,symphony_of_monsters,fr,metricx-qe,MetricX-QE,26,7.272839307785034,6.806001498148992,0.8618482935453009,0.961887602730909,-0.46683780963604266,-0.48806166648864746
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),26,0.7775687316849816,0.8007280921855922,0.05018530701257107,0.03787352865435056,-0.02315936050061049,-0.016110000000000013
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),26,4.642564814784297,4.410821301283563,0.9333027571776271,0.7972338228951082,-0.23174351350073405,-0.15753811796506234
the_ark_ja_en,the_ark,ja,litransproqa,LitTransProQA,23,0.875811777655476,0.9914694551458448,0.156393155599927,0.030566689377459454,-0.11565767749036876,-0.018987341772152
the_ark_ja_en,the_ark,ja,metricx-qe,MetricX-QE,23,8.560535202855649,7.693106112272843,1.1155760126217318,1.228127961603957,-0.8674290905828062,-1.2554268836975098
the_ark_ja_en,the_ark,ja,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),23,0.7290599250106955,0.7966704289235204,0.02553094806893787,0.016985034949493265,-0.06761050391282487,-0.07091764705882353
the_ark_ja_en,the_ark,ja,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),23,4.774897497356638,3.3921157253106027,0.6629988119918859,0.43493392707678696,-1.3827817720460351,-1.1949763794740043
