pkl,book_slug,source_lang,metric,metric_preference,n
symphony_of_monsters_fr_en,symphony_of_monsters,fr,litransproqa,MT,9
symphony_of_monsters_fr_en,symphony_of_monsters,fr,litransproqa,tie,17
symphony_of_monsters_fr_en,symphony_of_monsters,fr,metricx-qe,HT,7
symphony_of_monsters_fr_en,symphony_of_monsters,fr,metricx-qe,MT,19
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_cometkiwi,HT,2
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_cometkiwi,MT,24
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_metricx-qe,HT,9
symphony_of_monsters_fr_en,symphony_of_monsters,fr,paragraph_mean_metricx-qe,MT,17
the_ark_ja_en,the_ark,ja,litransproqa,HT,1
the_ark_ja_en,the_ark,ja,litransproqa,MT,12
the_ark_ja_en,the_ark,ja,litransproqa,tie,10
the_ark_ja_en,the_ark,ja,metricx-qe,HT,7
the_ark_ja_en,the_ark,ja,metricx-qe,MT,16
the_ark_ja_en,the_ark,ja,paragraph_mean_cometkiwi,MT,23
the_ark_ja_en,the_ark,ja,paragraph_mean_metricx-qe,HT,1
the_ark_ja_en,the_ark,ja,paragraph_mean_metricx-qe,MT,22
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,litransproqa,MT,3
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,litransproqa,tie,25
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,metricx-qe,HT,11
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,metricx-qe,MT,17
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_cometkiwi,HT,5
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_cometkiwi,MT,23
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_metricx-qe,HT,10
the_empusium_a_health_resort_horror_story_pl_en,the_empusium_a_health_resort_horror_story,pl,paragraph_mean_metricx-qe,MT,18
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,litransproqa,MT,22
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,litransproqa,tie,2
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,metricx-qe,HT,9
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,metricx-qe,MT,15
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,paragraph_mean_cometkiwi,MT,22
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,paragraph_mean_metricx-qe,HT,7
the_story_of_marceau_miller_fr_en,the_story_of_marceau_miller,fr,paragraph_mean_metricx-qe,MT,17
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,litransproqa,HT,4
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,litransproqa,MT,2
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,litransproqa,tie,17
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,metricx-qe,HT,12
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,metricx-qe,MT,11
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_cometkiwi,HT,8
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_cometkiwi,MT,15
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_metricx-qe,HT,11
the_witcher_crossroads_of_ravens_pl_en,the_witcher_crossroads_of_ravens,pl,paragraph_mean_metricx-qe,MT,12
watching_over_her_fr_en,watching_over_her,fr,litransproqa,HT,1
watching_over_her_fr_en,watching_over_her,fr,litransproqa,MT,8
watching_over_her_fr_en,watching_over_her,fr,litransproqa,tie,19
watching_over_her_fr_en,watching_over_her,fr,metricx-qe,HT,13
watching_over_her_fr_en,watching_over_her,fr,metricx-qe,MT,15
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_cometkiwi,HT,7
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_cometkiwi,MT,21
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_metricx-qe,HT,14
watching_over_her_fr_en,watching_over_her,fr,paragraph_mean_metricx-qe,MT,14
